datetime,venueId,total,dwell,Sensor Name,Sensor Type,Lat Long,avg_dwell,Latitude,Longitude,date,time,hour
2023-01-13 16:00:00+11:00,7780,160,43680,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",4.0,-37.8025805,144.9656012,2023-01-13,16:00:00,16
2023-01-08 10:00:00+11:00,7780,74,29674,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",6.0,-37.8025805,144.9656012,2023-01-08,10:00:00,10
2023-01-16 05:00:00+11:00,7780,7,7203,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",17.0,-37.8025805,144.9656012,2023-01-16,05:00:00,5
2023-01-04 13:00:00+11:00,7780,113,23391,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",3.0,-37.8025805,144.9656012,2023-01-04,13:00:00,13
2023-01-04 03:00:00+11:00,7780,6,480,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",1.0,-37.8025805,144.9656012,2023-01-04,03:00:00,3
2023-01-04 20:00:00+11:00,7780,131,27379,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",3.0,-37.8025805,144.9656012,2023-01-04,20:00:00,20
2023-01-04 18:00:00+11:00,7780,148,34336,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",3.0,-37.8025805,144.9656012,2023-01-04,18:00:00,18
2023-01-05 04:00:00+11:00,7780,6,540,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",1.0,-37.8025805,144.9656012,2023-01-05,04:00:00,4
2023-01-05 23:00:00+11:00,7780,35,770,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",0.0,-37.8025805,144.9656012,2023-01-05,23:00:00,23
2023-01-05 12:00:00+11:00,7780,175,51625,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",4.0,-37.8025805,144.9656012,2023-01-05,12:00:00,12
2023-01-05 16:00:00+11:00,7780,153,46512,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",5.0,-37.8025805,144.9656012,2023-01-05,16:00:00,16
2023-01-05 08:00:00+11:00,7780,91,17563,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",3.0,-37.8025805,144.9656012,2023-01-05,08:00:00,8
2023-01-06 01:00:00+11:00,7780,7,4739,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",11.0,-37.8025805,144.9656012,2023-01-06,01:00:00,1
2023-01-06 05:00:00+11:00,7780,12,5460,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",7.0,-37.8025805,144.9656012,2023-01-06,05:00:00,5
2023-01-18 20:00:00+11:00,7780,88,21384,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",4.0,-37.8025805,144.9656012,2023-01-18,20:00:00,20
2023-01-18 07:00:00+11:00,7780,67,29346,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",7.0,-37.8025805,144.9656012,2023-01-18,07:00:00,7
2023-01-18 11:00:00+11:00,7780,74,17760,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",4.0,-37.8025805,144.9656012,2023-01-18,11:00:00,11
2023-01-06 08:00:00+11:00,7780,115,43125,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",6.0,-37.8025805,144.9656012,2023-01-06,08:00:00,8
2023-01-06 07:00:00+11:00,7780,63,27342,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",7.0,-37.8025805,144.9656012,2023-01-06,07:00:00,7
2023-01-06 16:00:00+11:00,7780,199,63481,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",5.0,-37.8025805,144.9656012,2023-01-06,16:00:00,16
2023-01-06 03:00:00+11:00,7780,3,0,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",0.0,-37.8025805,144.9656012,2023-01-06,03:00:00,3
2023-01-08 20:00:00+11:00,7780,219,76212,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",5.0,-37.8025805,144.9656012,2023-01-08,20:00:00,20
2023-01-08 09:00:00+11:00,7780,70,26390,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",6.0,-37.8025805,144.9656012,2023-01-08,09:00:00,9
2023-01-08 18:00:00+11:00,7780,232,132472,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",9.0,-37.8025805,144.9656012,2023-01-08,18:00:00,18
2023-01-08 15:00:00+11:00,7780,97,47724,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",8.0,-37.8025805,144.9656012,2023-01-08,15:00:00,15
2023-01-08 04:00:00+11:00,7780,4,540,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",2.0,-37.8025805,144.9656012,2023-01-08,04:00:00,4
2023-01-08 13:00:00+11:00,7780,123,23985,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",3.0,-37.8025805,144.9656012,2023-01-08,13:00:00,13
