datetime,venueId,total,dwell,Sensor Name,Sensor Type,Lat Long,avg_dwell,Latitude,Longitude,date,time,hour,weekday
2024-06-06 00:00:00+10:00,7780,41,10127,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",4.0,-37.8025805,144.9656012,2024-06-06,00:00:00,0,Thursday
2024-06-06 08:00:00+10:00,7780,0,0,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",,-37.8025805,144.9656012,2024-06-06,08:00:00,8,Thursday
2024-01-02 06:00:00+11:00,7780,18,5274,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",4.0,-37.8025805,144.9656012,2024-01-02,06:00:00,6,Tuesday
2024-01-02 09:00:00+11:00,7780,93,20553,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",3.0,-37.8025805,144.9656012,2024-01-02,09:00:00,9,Tuesday
2024-01-02 04:00:00+11:00,7780,6,0,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",0.0,-37.8025805,144.9656012,2024-01-02,04:00:00,4,Tuesday
2024-01-05 12:00:00+11:00,7780,131,50304,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",6.0,-37.8025805,144.9656012,2024-01-05,12:00:00,12,Friday
2024-01-05 13:00:00+11:00,7780,138,26220,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",3.0,-37.8025805,144.9656012,2024-01-05,13:00:00,13,Friday
2024-01-05 22:00:00+11:00,7780,126,28476,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",3.0,-37.8025805,144.9656012,2024-01-05,22:00:00,22,Friday
2024-01-04 00:00:00+11:00,7780,17,3842,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",3.0,-37.8025805,144.9656012,2024-01-04,00:00:00,0,Thursday
2024-01-04 14:00:00+11:00,7780,93,26133,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",4.0,-37.8025805,144.9656012,2024-01-04,14:00:00,14,Thursday
2024-01-06 10:00:00+11:00,7780,76,19228,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",4.0,-37.8025805,144.9656012,2024-01-06,10:00:00,10,Saturday
2024-01-06 12:00:00+11:00,7780,117,34164,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",4.0,-37.8025805,144.9656012,2024-01-06,12:00:00,12,Saturday
2024-01-07 05:00:00+11:00,7780,5,1080,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",3.0,-37.8025805,144.9656012,2024-01-07,05:00:00,5,Sunday
